,name,rating,price,review_count,address,latitude,longitude,zip code,restaurant_id
0,The Perch,4.5,$$,267,"['1932 W Division', 'Chicago, IL 60622']",41.90348,-87.676221,60622,okaqMJEoHfHblpKz9Q-CMA
1,etta - Bucktown,4.5,$$,846,"['1840 W North Ave', 'Chicago, IL 60622']",41.91073,-87.67417,60622,W2QV6SILHer3qB_-CZ1z1A
2,Amaru,5.0,$$$,242,"['1904 W North Ave', 'Chicago, IL 60622']",41.91071,-87.67536,60622,faOpq9ORL0FlsMrou2NYug
3,Boeufhaus,4.5,$$$,377,"['1012 N Western Ave', 'Chicago, IL 60622']",41.899831,-87.687487,60622,UKs05XWhbP0riI8O0Kv36w
4,Machine: Engineered Dining & Drink,4.0,$$,527,"['1846 W Division St', 'Chicago, IL 60622']",41.90346,-87.67411,60622,WUK_G_6ECozMtnJX3YVdIg
5,Osteria Rusticana,4.5,$$,107,"['2114 W Division St', 'Chicago, IL 60622']",41.90344,-87.68041,60622,SmJehlTFRJYKQjA8W3f35A
6,Queen Mary Tavern,4.5,$$,99,"['2125 W Division St', 'Chicago, IL 60622']",41.9028282165527,-87.6807403564453,60622,L0SpO9Eb6fHIZ5ljKpdAow
7,Split-Rail,4.5,$$,241,"['2500 W Chicago Ave', 'Chicago, IL 60622']",41.8959276538074,-87.6895823702216,60622,8XNGM8f0QLSOqDEactfigA
8,Union,4.5,,5,"['2202 N California Ave', 'Chicago, IL 60647']",41.9218,-87.69769,60647,0qW7MJ0trxnoWzCHBiBgbQ
9,Forbidden Root,4.5,$$,516,"['1746 W Chicago Ave', 'Chicago, IL 60622']",41.89628,-87.671551,60622,iOMvXQYFl6_mtw0wX6ZUXw
10,Bárbaro Taquería,4.5,$$,117,"['2525 W North Ave', 'Chicago, IL 60647']",41.90997,-87.69074,60647,0Zu5S3zJvLC1Ve7kGAttDQ
11,The Delta,4.5,$$,379,"['1745 W North Ave', 'Chicago, IL 60622']",41.91032,-87.67186,60622,umw3lIhc_h9DUGjN0DklxQ
12,Jeff & Judes,4.0,,71,"['1024 N Western Ave', 'Chicago, IL 60622']",41.90015,-87.68733,60622,KjHn4p54w5UwGmgvUHi7BQ
13,Giant,4.5,$$$,528,"['3209 W Armitage Ave', 'Chicago, IL 60647']",41.9171,-87.70746,60647,wfkj7DK8YzhdwhhFc2OntA
