,name,category,category_title,rating,price,review_count,display_address,address1,address2,address3,city,latitude,longitude,zip code,restaurant_id,price_integer
0,Tortas Frontera,mexican,Mexican,4.0,$$,1395,"['Terminal 3 - Gate K4', ""10000 W O'Hare Ave"", 'Terminal 3 Concourse K Gate K4', 'Chicago, IL 60666']",Terminal 3 - Gate K4,10000 W O'Hare Ave,Terminal 3 Concourse K Gate K4,Chicago,41.975438,-87.900137,60666,1zZvM7Zy__Oh533E4bt6_A,2.0
1,Farmer's Fridge,salad,Salad,4.5,$,62,"['10000 Ohare Way', 'Terminal 3 Gate K6', 'Chicago, IL 60666']",10000 Ohare Way,,Terminal 3 Gate K6,Chicago,41.97523426556295,-87.89871916193123,60666,4xQv1b1IFRsAWZu7yVLFrQ,1.0
2,Tortas Frontera,mexican,Mexican,4.0,$$,1321,"[""10000 W O'Hare Ave"", 'Terminal 1 - Gate B11', 'Chicago, IL 60666']",10000 W O'Hare Ave,,Terminal 1 - Gate B11,Chicago,41.9800263338152,-87.9066793839226,60666,0k018u1PAtfmkNRYk04yCQ,2.0
3,Gaslight Club,newamerican,American (New),3.5,$$$,99,"[""Chicago O'Hare International Airport"", ""O'Hare Hilton Hotel - Lobby Level"", 'Chicago, IL 60666']",Chicago O'Hare International Airport,,O'Hare Hilton Hotel - Lobby Level,Chicago,41.9779648218459,-87.9051733016968,60666,MywzBEKWjmt0bcNajKt8yw,3.0
4,Big Bowl,chinese,Chinese,2.0,$$,36,"[""10000 West O'hare Ave"", 'Terminal 5; Gate M7', 'Chicago, IL 60666']",10000 West O'hare Ave,,Terminal 5; Gate M7,Chicago,41.9751027554679,-87.8913503446548,60666,6VZwwWxBmxMsKd10AIOjxg,2.0
5,Tortas Frontera,mexican,Mexican,3.0,$$,103,"['Terminal 5 Concourse M Gate M12', ""10000 W O'Hare Ave"", 'Chicago, IL 60666']",Terminal 5 Concourse M Gate M12,10000 W O'Hare Ave,,Chicago,41.9742709041186,-87.8908110782505,60666,1q2o-gHLuFaOEa8F8UrCQw,2.0
6,Publican Tavern,pubs,Pubs,3.5,$$,425,"['Terminal 3 - Gate K1', ""10000 W O'Hare Ave"", 'Councourse K', 'Chicago, IL 60666']",Terminal 3 - Gate K1,10000 W O'Hare Ave,Councourse K,Chicago,41.976665000000025,-87.90094481165671,60666,XnRP12wPi3bd9PbAYZpH3g,2.0
7,Wow Bao,chinese,Chinese,2.0,$,86,"[""10000 W O'Hare Ave"", 'Terminal 5', 'Chicago, IL 60666']",10000 W O'Hare Ave,,Terminal 5,Chicago,41.9743457,-87.8910776,60666,-kZAA24258sB8CxX_PjQZg,1.0
8,Hub 51,desserts,Desserts,2.5,$$,62,"[""10000 W O'Hare Ave"", 'Terminal 5', 'Chicago, IL 60666']",10000 W O'Hare Ave,,Terminal 5,Chicago,41.9743173,-87.8907661,60666,6ETGudXoZ9BYXssyiwjArA,2.0
9,Wicker Park,sushi,Sushi Bars,3.5,$$,104,"['29-99 Upper Level T1 St', ""O'Hare International Airport"", 'Chicago, IL 60666']",29-99 Upper Level T1 St,,O'Hare International Airport,Chicago,41.9768476960481,-87.9060383141041,60666,teNhRku3eik7FXeQK3IG9g,2.0
10,Skybridge Restaurant & Bar,greek,Greek,3.5,$$,103,"[""Chicago O'Hare International Airport"", 'Terminal 2, Concourse F', 'Chicago, IL 60666']",Chicago O'Hare International Airport,,"Terminal 2, Concourse F",Chicago,41.973654548547,-87.9060655142639,60666,E4fKq5VSkP6r8Ide_aWYug,2.0
11,Wicker Park Sushi,sushi,Sushi Bars,3.0,$$,421,"[""10000 W O'Hare Ave"", ""Chicago O'Hare International Airport - Terminal 2"", 'Chicago, IL 60666']",10000 W O'Hare Ave,,Chicago O'Hare International Airport - Terminal 2,Chicago,41.977032,-87.906225,60666,0qg7WU44WYn3dTkXSkRg8w,2.0
12,Tocco,italian,Italian,2.0,$$,43,"['Terminal 5', ""O'Hare International Airport"", ""O'Hare, IL 60666""]",Terminal 5,,O'Hare International Airport,O'Hare,41.9751532478792,-87.8915530247965,60666,wobaKGPkFxRgwmtImAf5Qw,2.0
13,Metropolis Coffee Company and Goddess and Grocer,desserts,Desserts,3.5,$$,26,"['Terminal 5', ""Chicago O'Hare International Airport"", ""AMF O'hare, IL 60666""]",Terminal 5,,Chicago O'Hare International Airport,AMF O'hare,41.9764932624833,-87.8896396234632,60666,Zn0QfV4bUFNYpGZPCWROXg,2.0
14,Farmer's Fridge,salad,Salad,5.0,,4,"[""10000 W O'Hare Ave"", 'Terminal 2 Gate F6', ""O'Hare International Airport"", 'Chicago, IL 60666']",10000 W O'Hare Ave,Terminal 2 Gate F6,O'Hare International Airport,Chicago,41.9744387244088,-87.905975034407,60666,VvTN4odPGQgELSO_fjtDUQ,
15,Summer House,burgers,Burgers,3.0,$$,224,"['Terminal 2 - Main Hall', ""10000 W O'Hare Ave"", ""O'hare International Airport"", 'Chicago, IL 60666']",Terminal 2 - Main Hall,10000 W O'Hare Ave,O'hare International Airport,Chicago,41.9764022288837,-87.9060797164594,60666,FacbmMkN1GGLhDO9l4E7fw,2.0
16,Goose Island Brewpub,newamerican,American (New),2.0,$$,314,"['Terminal 3 - Gate L10', ""10000 W O'Hare Ave"", 'Terminal 3', 'Chicago, IL 60666']",Terminal 3 - Gate L10,10000 W O'Hare Ave,Terminal 3,Chicago,41.9768015357764,-87.8971948386615,60666,G9M6K5g7MG14PqcrUFaa8w,2.0
17,Tuscany,italian,Italian,3.0,$$$,26,"['5600 Mannheim Rd', 'Chicago, IL 60666']",5600 Mannheim Rd,,,Chicago,41.981287,-87.906044,60666,a5yg5uTUMiVb6vP1PbfaEw,3.0
18,Wolfgang Puck Express,tradamerican,American (Traditional),2.5,$$,264,"[""10000 W O'Hare Ave"", 'Terminal 3, Gate K12', 'Chicago, IL 60666']",10000 W O'Hare Ave,,"Terminal 3, Gate K12",Chicago,41.980183,-87.886334,60666,vpwzvUl4Jgjrce_PHyPDSg,2.0
19,Romano's Macaroni Grill,italian,Italian,2.5,$$,335,"[""O'Hare International Airport"", 'Chicago, IL 60666']",O'Hare International Airport,,,Chicago,41.97761,-87.9041058,60666,ZtyubR1g94lRXovErt4FBw,2.0
20,Wolfgang Puck Restaurant,newamerican,American (New),3.0,$$,38,"['10000 Bessie Coleman Dr', 'Chicago, IL 60666']",10000 Bessie Coleman Dr,,,Chicago,41.9770579723372,-87.9071812105591,60666,kegxGw-umPwaR4QJgc1gbg,2.0
21,Stefani's Tuscany Café,italian,Italian,2.5,$$,320,"['10000 Bessie Coleman Dr', ""O'Hare International Airport"", 'Chicago, IL 60666']",10000 Bessie Coleman Dr,,O'Hare International Airport,Chicago,41.981285,-87.906054,60666,BrKl0XhF3IpCWq34Om_sgg,2.0
22,La Tapenade Mediterranean Cafe,sandwiches,Sandwiches,2.5,$$,146,"['10000 W Ohare Ave', 'Terminal 2, Concourse F, Gate F-20', 'Chicago, IL 60666']",10000 W Ohare Ave,"Terminal 2, Concourse F, Gate F-20",,Chicago,41.974541,-87.890898,60666,daDClDC-1WozJbuQ6pYPiQ,2.0
23,The Goddess And Grocer,coffee,Coffee & Tea,3.0,,10,"[""10000 W O'Hare Ave"", 'Terminal 5', 'Chicago, IL 60666']",10000 W O'Hare Ave,,Terminal 5,Chicago,41.9748701209858,-87.8904328867793,60666,0ZNrqx3LlihmLvhHNCUIRQ,
24,Urban Olive,mideastern,Middle Eastern,2.0,$$,25,"['International Airport Terminal 5 Concourse M Gate M10', ""O'Hare, IL 60666""]",International Airport Terminal 5 Concourse M Gate M10,,,O'Hare,41.9744601577478,-87.8905677105759,60666,KtCz4e4q8YIfZta4nuDNFA,2.0
25,Andiamo Restaurant,newamerican,American (New),2.5,$$,78,"[""Hilton Chicago O'Hare Airport"", ""O'Hare Airport"", 'Chicago, IL 60666']",Hilton Chicago O'Hare Airport,,O'Hare Airport,Chicago,41.9775959,-87.9041058,60666,64pHK6QxuX7GZqEpD1JNyQ,2.0
26,McDonald's,coffee,Coffee & Tea,1.5,$,15,"[""10000 W O'hare Ave"", 'Terminal 5 Arrivals', 'Chicago, IL 60666']",10000 W O'hare Ave,Terminal 5 Arrivals,,Chicago,41.974478,-87.890465,60666,IrteSpvWLfXvICFcn0g-CQ,1.0
27,Manchu Wok,chinese,Chinese,1.5,$,200,"[""10000 W O'Hare Ave"", ""O'hare International Airport - Terminal 3"", 'Chicago, IL 60666']",10000 W O'Hare Ave,,O'hare International Airport - Terminal 3,Chicago,41.9750011323497,-87.9001781256866,60666,3vAEow7Dr8q_F2muTXyKfQ,1.0
28,Gold Coast Dogs,hotdog,Hot Dogs,3.0,$,159,"[""O'Hare International Airport Concourse L"", ""10000 W O'Hare"", 'Chicago, IL 60666']",O'Hare International Airport Concourse L,,10000 W O'Hare,Chicago,41.9770396177601,-87.8981781005859,60666,qVuyr2SVGv9ojTR_qXAl6w,1.0
29,Farmer's Fridge,salad,Salad,5.0,,4,"[""10000 W O'Hare Ave"", 'Chicago, IL 60666']",10000 W O'Hare Ave,,,Chicago,41.9643249511719,-87.9092330932617,60666,Cs6s_KIrc2j_rTy3QZ1-vg,
30,Romano's Macaroni Grill,italian,Italian,2.5,$$,66,"['5600 Mannheim Rd', 'Chicago, IL 60666']",5600 Mannheim Rd,,,Chicago,41.9757155974767,-87.9005598883301,60666,3QC_6OcT-f-l-nI19Iu26g,2.0
31,Bubbles,wine_bars,Wine Bars,3.5,$$,77,"['Terminal 3 Concourse H Gate H3', ""10000 W O'Hare Ave"", 'Chicago, IL 60666']",Terminal 3 Concourse H Gate H3,10000 W O'Hare Ave,,Chicago,41.9790169,-87.90656949999999,60666,3iuBKd381AYd6AnA2u1PDA,2.0
32,Stanley's Blackhawk,tradamerican,American (Traditional),2.0,$$,210,"['Terminal 2 - Gate E5', ""10000 W O'Hare Ave"", ""10000 W O'Hare"", 'Chicago, IL 60666']",Terminal 2 - Gate E5,10000 W O'Hare Ave,10000 W O'Hare,Chicago,41.9752685308459,-87.9065071217041,60666,HKtpkceyI9jEsoT2zQ1Jcw,2.0
