,AKA Name,Facility Type,Risk,Address,Zip,Year,Inspection Type,Results,Violations,Latitude,Longitude
0,RED MANGO,Restaurant,Risk 2 (Medium),1950 W POLK ST ,60612.0,2022,License,Pass,,41.87159625,-87.67582148
1649,WENDY'S,Restaurant,Risk 1 (High),4412 N PULASKI RD ,60630.0,2022,Complaint Re-Inspection,Pass,,41.96136649,-87.72798668
1663,GIORDANO'S PIZZA,Restaurant,Risk 1 (High),1401 W 18TH ST ,60608.0,2022,Canvass,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.12 OBSERVED ACCUMULATED GREASE DEBRIS UNDER THE FRYER AND ACCUMULATED FOOD DEBRIS IN THE FLOOR DRAIN UNDER THE 3 COMPARTMENT SINK. INSTRUCTED TO CLEAN ALL.",41.85776469,-87.66138509
1664,ALEX LA MICHOACANA,Restaurant,Risk 1 (High),5420 W FULLERTON AVE ,60639.0,2022,Canvass Re-Inspection,Pass,,41.9241413,-87.76192142
1667,KYO MATCHA,Restaurant,Risk 2 (Medium),2167 S CHINA PL ,60616.0,2022,License,Pass,,41.85355612,-87.63519795
1671,POTBELLY SANDWICH WORKS LLC,Restaurant,Risk 1 (High),1 N LA SALLE ST ,60602.0,2022,Canvass,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED APPROXIMATELY 20 SMALL FLIES IN CABINET UNDER SODA DISPENSING AREA. ELIMINATE SMALL FLY ACTIVITY AND MAINTAIN AREA. PRIORITY FOUNDATION VIOLATION 7-38-020(A)",41.88199007,-87.63221288
1674,GIORDANO'S,Restaurant,Risk 1 (High),130 E RANDOLPH ST ,60601.0,2022,License,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OUTER OPENINGS NOT RODENT PROOFED. MUST RODENT PROOF FRONT DOOR.",41.88458837,-87.62327256
1675,VietFive Coffee,Restaurant,Risk 2 (Medium),1116 W MADISON ST ,60607.0,2022,License Re-Inspection,Pass,,41.8817638,-87.65515945
1676,JERK,Restaurant,Risk 1 (High),811 W CHICAGO AVE ,60642.0,2022,Canvass,Pass,58. ALLERGEN TRAINING AS REQUIRED - Comments: NO ALLERGEN TRAINING CERTIFICATE ON SITE FOR CITY OF CHICAGO FOOD SERVICE MANAGER. INSTRUCTED TO PROVIDE FOR ALL CITY OF CHICAGO FOOD SERVICE MANAGERS.,41.89629288,-87.64830317
1677,YOURS TRULY,Restaurant,Risk 1 (High),611-613 N WELLS ST ,60654.0,2022,Canvass Re-Inspection,Pass,,41.89279045,-87.63395358
1678,TAKIE OUTIT,Restaurant,Risk 1 (High),2132 W CHICAGO AVE ,60622.0,2022,License Re-Inspection,Pass,57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO PROOF OF TRANING FOR ALL FOOD HANDLERS. INSTRUCTED TO PROVIDE AND MAINTAIN RECORDS AT ALL TIMES. ,41.89595604,-87.68084203
1679,63RD FRIED RICE,Restaurant,Risk 1 (High),6216 W 63RD ST ,60638.0,2022,License Re-Inspection,Pass,"56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: COOKING EQUIPMENT (WOK, FRYERS, STOVE) UNABLE TO FIT COMPLETELY UNDER VENTILATION SYSTEMS (2 LOCATIONS). INSTD TO PROVIDE PROPER VENTILATION SYSTEM IN WHICH ALL COOKING EQUIPMENT IS ABLE TO FIT COMPLETELY UNDER SYSTEM",41.77786303,-87.77717745
1680,FIVE GUYS BURGERS AND FRIES,Restaurant,Risk 2 (Medium),1456 E 53RD ST ,60615.0,2022,Canvass,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SMALL LEAK AT RELEASE LEVER UNDERNEATH THREE COMPARTMENT SINK(REAR). INSTRUCTED PERSON IN CHARGE TO REPAIR AND MAINTAIN.",41.79964931,-87.58956485
1681,ROCK BOTTOM,Restaurant,Risk 1 (High),1 W GRAND AVE ,60654.0,2022,License,Fail,,41.89155904,-87.62813938
1686,DUNKIN DONUTS / BASKIN ROBBINS,Restaurant,Risk 2 (Medium),6408 W IRVING PARK RD ,60634.0,2022,Canvass,Pass,57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FOODHANDLERS AT PREMISES WITH NO FOODHANDLER TRAINING CERTIFICATE. MUST PROVIDE.,41.95302136,-87.78695613
1687,GUILD ROW,Restaurant,Risk 1 (High),2607 W FLETCHER ST ,60618.0,2022,License,Pass,,41.93843921,-87.69326188
1691,HILTON SUITES,Restaurant,Risk 1 (High),198 E DELAWARE PL ,60611.0,2022,Canvass,Pass,"37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: Packaged salad and parfait not labeled at the cafï¿½ display cooler. instructed to label all packaged food according to he health code, i.e. ",41.89935174,-87.62198691
