Unnamed: 0,name,category,category_title,rating,price,review_count,display_address,address1,address2,address3,city,latitude,longitude,zip code_x,restaurant_id,price_integer,Address_old,AKA Name,Facility Type,Risk,zip code_y,Year,Inspection Type,Results,Violations,Latitude,Longitude
3560,Wendy's,hotdogs,Fast Food,1.5,$,66,"['4412 N Pulaski Rd', 'Chicago, IL 60630']",4412 N Pulaski Rd,,,Chicago,41.96142751,-87.72814851,60630,NztYcb9i_D9E563x1XVUsQ,1,4412 N Pulaski Rd ,WENDY'S,Restaurant,Risk 1 (High),60630,2022,Complaint Re-Inspection,Pass,,41.96136649,-87.72798668
4779,Giordano's,salad,Salad,2.5,$$,68,"['1401 W 18th St', 'Chicago, IL 60608']",1401 W 18th St,,,Chicago,41.8577151,-87.6614975,60608,Zle1G4Iv9gom3jbtfnQ1hw,2,1401 W 18th St ,GIORDANO'S PIZZA,Restaurant,Risk 1 (High),60608,2022,Canvass,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.12 OBSERVED ACCUMULATED GREASE DEBRIS UNDER THE FRYER AND ACCUMULATED FOOD DEBRIS IN THE FLOOR DRAIN UNDER THE 3 COMPARTMENT SINK. INSTRUCTED TO CLEAN ALL.",41.85776469,-87.66138509
5719,Potbelly Sandwich Shop,sandwiches,Sandwiches,3,$,30,"['1 N La Salle St', 'Chicago, IL 60602']",1 N La Salle St,,,Chicago,41.88250521,-87.63215421,60602,cHYXEu5GP_QV1bDrRVEf_g,1,1 N La Salle St ,POTBELLY SANDWICH WORKS LLC,Restaurant,Risk 1 (High),60602,2022,Canvass,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED APPROXIMATELY 20 SMALL FLIES IN CABINET UNDER SODA DISPENSING AREA. ELIMINATE SMALL FLY ACTIVITY AND MAINTAIN AREA. PRIORITY FOUNDATION VIOLATION 7-38-020(A)",41.88199007,-87.63221288
5502,Amazon Go,convenience,Convenience Stores,3.5,,4,"['130 E Randolph St', 'Chicago, IL 60601']",130 E Randolph St,,,Chicago,41.8851782,-87.62295927,60601,iY6rhcqsibOje05g0z6E_w,,130 E Randolph St ,GIORDANO'S,Restaurant,Risk 1 (High),60601,2022,License,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OUTER OPENINGS NOT RODENT PROOFED. MUST RODENT PROOF FRONT DOOR.",41.88458837,-87.62327256
5975,Wildberry Pancakes and Cafe,pancakes,Pancakes,4.5,$$,8246,"['130 E Randolph St', 'Chicago, IL 60601']",130 E Randolph St,,,Chicago,41.884668,-87.62288,60601,cKZNbMvoqJaUe7n6lf6i7w,2,130 E Randolph St ,GIORDANO'S,Restaurant,Risk 1 (High),60601,2022,License,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OUTER OPENINGS NOT RODENT PROOFED. MUST RODENT PROOF FRONT DOOR.",41.88458837,-87.62327256
6797,Vietfive Coffee,coffee,Coffee & Tea,5,,12,"['1116 W Madison St', 'Chicago, IL 60607']",1116 W Madison St,,,Chicago,41.88184,-87.6551,60607,zrgjSslmZzgmF6H4ZU3HxA,,1116 W Madison St ,VietFive Coffee,Restaurant,Risk 2 (Medium),60607,2022,License Re-Inspection,Pass,,41.8817638,-87.65515945
4331,Mrs Parks Tavern,newamerican,American (New),1,,1,"['198 E Delaware Pl', 'Chicago, IL 60611']",198 E Delaware Pl,,,Chicago,41.89952,-87.62225,60611,IhdQkQPIidTPZ_iljuKAHA,,198 E Delaware Pl ,HILTON SUITES,Restaurant,Risk 1 (High),60611,2022,Canvass,Pass,"37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: Packaged salad and parfait not labeled at the cafï¿½ display cooler. instructed to label all packaged food according to he health code, i.e. ",41.89935174,-87.62198691
4752,Roti,mediterranean,Mediterranean,3.5,,24,"['1012 W Randolph St', 'Chicago, IL 60607']",1012 W Randolph St,,,Chicago,41.88459,-87.65277,60607,UJ2EoYMwv_Db2VetmwKXYw,,1012 W Randolph St ,ROTI MODERN MEDITERRANEAN,Restaurant,Risk 1 (High),60607,2022,Canvass Re-Inspection,Pass,,41.88442576,-87.65268989
6836,Riccardo Osteria,italian,Italian,4.5,,90,"['1023 W Lake St', 'Chicago, IL 60607']",1023 W Lake St,,,Chicago,41.8853,-87.65316,60607,COj7sT-lZrtOyx0X-ELMug,,1023 W Lake St ,RICCARDO OSTERIA,Restaurant,Risk 1 (High),60607,2022,Canvass Re-Inspection,Pass,,41.88545575,-87.65315631
5719,Potbelly Sandwich Shop,sandwiches,Sandwiches,3,$,30,"['1 N La Salle St', 'Chicago, IL 60602']",1 N La Salle St,,,Chicago,41.88250521,-87.63215421,60602,cHYXEu5GP_QV1bDrRVEf_g,1,1 N La Salle St ,POTBELLY SANDWICH WORKS LLC,Restaurant,Risk 1 (High),60602,2022,Canvass Re-Inspection,Pass,,41.88199007,-87.63221288
4892,Laojiumen Hotpot Chicago,hotpot,Hot Pot,3.5,$$$,94,"['2026 S Clark St', 'Unit D-E', 'Chicago, IL 60616']",2026 S Clark St,Unit D-E,,Chicago,41.85465295,-87.63039487,60616,42sggeay7KDSP-02bz3VJw,3,2026 S Clark St ,KONG DOG,Restaurant,Risk 2 (Medium),60616,2022,License,Pass,,41.8545508,-87.63028972
4928,bb.q Chicken - Chinatown,korean,Korean,4,$$,17,"['2026 S Clark St', 'Ste G', 'Chicago, IL 60616']",2026 S Clark St,Ste G,,Chicago,41.854621,-87.630422,60616,hBtmPwJ7CNIsplDlg7uRRQ,2,2026 S Clark St ,KONG DOG,Restaurant,Risk 2 (Medium),60616,2022,License,Pass,,41.8545508,-87.63028972
6177,Kong Dog,hotdogs,Fast Food,4.5,,4,"['2026 S Clark St', 'Unit F', 'Chicago, IL 60616']",2026 S Clark St,Unit F,,Chicago,41.8549,-87.63032,60616,GGm-BMfVj8-nhJKYqPvN5w,,2026 S Clark St ,KONG DOG,Restaurant,Risk 2 (Medium),60616,2022,License,Pass,,41.8545508,-87.63028972
5369,Timothy O'Toole's Pub - Chicago,sportsbars,Sports Bars,3.5,$$,1123,"['622 N Fairbanks Ct', 'Chicago, IL 60611']",622 N Fairbanks Ct,,,Chicago,41.89325244,-87.62032517,60611,MJ9uU_vI6dyfHyMAgLMUOg,2,622 N Fairbanks Ct ,TIMOTHY O'TOOLE'S,Restaurant,Risk 1 (High),60611,2022,Canvass,Pass,"43. IN-USE UTENSILS: PROPERLY STORED - Comments: Knives and spatulas in-use are held in a sanitized solution, instructed to keep in a dry clean container/surface. | 45. SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED - Comments: food containers stored facing up, instructed to invert or cover to prevent dust collection.",41.8933654,-87.62042206
2259,Popeyes Louisiana Kitchen,hotdogs,Fast Food,1.5,$,12,"['1356 W 47th St', 'Chicago, IL 60609']",1356 W 47th St,,,Chicago,41.80902,-87.65972,60609,fuanT6rE7Cg58a0trEURsQ,1,1356 W 47th St ,POPYE'S #867,Restaurant,Risk 1 (High),60609,2022,Complaint,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN AND MAINTAIN THE FOLLOWING:  FLOORS UNDER AND AROUND EQUIPMENT AND STORAGE SHELVES, ALL FLOOR DRAINS UNDERNEATH SINKS AND OTHER EQUIPMENT, WALLS INSIDE OF WALK-IN COOLER.  ",41.80878025,-87.65995686
5636,Kamehachi,sushi,Sushi Bars,3,$$,18,"['320 N Dearborn St', 'Chicago, IL 60610']",320 N Dearborn St,,,Chicago,41.888168,-87.62986,60610,gAkCzTt2630G2Vq9GCyQHg,2,320 N Dearborn St ,EMPLOYEES CAFETERIA,Restaurant,Risk 1 (High),60654,2022,Canvass,Pass,,41.88807038,-87.62969226
6147,Little Wok,chinese,Chinese,4,$$,274,"['3144 N Broadway', 'Chicago, IL 60657']",3144 N Broadway,,,Chicago,41.939,-87.64465,60657,nD9poL2XS2nnVOJXXMqbuA,2,3144 N Broadway ,LITTLE WOK,Restaurant,Risk 1 (High),60657,2022,Complaint,Fail,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NO WRITTEN EMPLOYEE HEALTH POLICY ON SITE FOR SEVERAL EMPLOYEES WORKING IN THE FACILITY AT THE TIME OF INSPECTION. MUST PROVIDE A VERIFIED EMPLOYEE HEALTH POLICY FOR ALL EMPLOYEES AND MAKE AVAILABLE DURING EACH HEALTH INSPECTION. PRIORITY FOUNDATION VIOLATION 7-38-010 CITATION ISSUED. | 6. PROPER EATING, TASTING, DRINKING, OR TOBACCO USE - Comments: OBSERVED SEVERAL EMPLOYEES EATING THROUGHOUT THE KITCHEN AND DISHWASHING AREA. INSTRUCTED ALL EMPLOYEE MEALS MUST BE CONSUMED IN THE DESIGNATED DINING AREA. | 23. PROPER DATE MARKING AND DISPOSITION - Comments: OBSERVED APPROXIMATELY 300 LBS COOKED, READY TO EAT TCS FOODS SUCH AS COOKED CHICKEN, ASSORTED COOKED MEATS, SHRIMP WITH NO LABELS OF ANY KIND, NO EXPIRATION DATES, AND NO WRITTEN POLICY/PROCEDURE FOR IDENTIFYING THE EXPIRATION OF SUCH FOODS. ALL FOODS DISCARDED. REVIEWED ALL PREPARED TCS FOODS MUST BE LABELED WITH AN EXPIRATION DATE NO LONGER THAN 7 DAYS. PRIORITY FOUNDATION VIOLATION 7-38-005 CITATION ISSUED. | 35. APPROVED THAWING METHODS USED - Comments: OBSERVED FROZEN FISH BEING IMPROPERLY THAWED IN STANDING WATER. REVIEWED ALL METHODS OF THAWING FROZEN FOODS.  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: NO METAL STEM THERMOMETER ON SITE TO MEASURE HOT AND COLD FOOD TEMPERATURES. MUST PROVIDE. PRIORITY FOUNDATION VIOLATION 7-38-005 CITATION ISSUED. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: ALL BULK FOOD CONTAINERS INCLUDING BULK SPICE CONTAINERS MUST BE PROPERLY LABELED WITH THE PRODUCT COMMON NAME. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: ALL PREP AREA WIPING CLOTHS MUST BE HELD IN CONTAINERS WITH A SANITIZING SOLUTION BETWEEN USE. | 43. IN-USE UTENSILS: PROPERLY STORED - Comments: ICE SCOOP MUST BE STORED IN A CLEAN CONTAINER. NOT ON THE TOP OF THE ICE MACHINE. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: THE INTERIOR OF THE DISHWASHING MACHINE IS EXTREMELY DIRTY WITH SLIME SUBSTANCE BUILD-UP AND THE EXTERIOR OF THE MACHINE WITH DIRT AND DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: THE FOLLOWING EQUIPMENT WAS FOUND DIRTY: INTERIOR/EXTERIOR ALL MICROWAVE OVENS.EXTERIOR/INTERIOR OF ALL KITCHEN FREEZERS AND COOLERS WITH DIRT AND FOOD DEBRIS, ESPECIALLY THE DOOR HANDLES AND INSIDE DOOR RUBBER GASKETS. EXTERIOR OF ALL COOKS LINE EQUIPMENT WITH EXCESSIVE GREASE AND FOOD DEBRIS. MUST CLEAN AND MAINTAIN ALL. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: EXTREMELY DIRTY INTERIOR HAND SINK AT THE FRONT SUSHI PREP AREA. SINK WITH BLACK SLIME SUBSTANCE. MUST CLEAN AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: DIRTY HAND WASH WASHBOWLS INSIDE BOTH WASHROOMS. MUST CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: SOILED MOP HEADS IMPROPERLY STORED INSIDE THE MOP SINK. WET/SOILED MOPS MUST BE STORED INVERTED AT THE UTILITY SERVICE SINK. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: NOTED EXTREMELY DIRTY/DUSTY FLOOR FANS THROUGHOUT THE KITCHEN. MUST CLEAN AND MAINTAIN. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: NO PROOF OF FOOD HANDLER TRAINING OR CERTIFICATES FOR SEVERAL EMPLOYEES ON SITE DURING THE INSPECTION. MUST PROVIDE. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: NO PROOF OF ALLERGEN TRAINING OR CERTIFICATES FOR THE ABOVE CITY OF CHICAGO CERTIFIED FOOD MANAGERS. MUST PROVIDE. | 60. PREVIOUS CORE VIOLATION CORRECTED - Comments: PREVIOUS CORE VIOLATIONS FROM REPORT #2510386 ON 5-26-21 WERE NOT CORRECTED. #45- 4-903.11(A; C)-- ALL STORED ITEMS THROUGHOUT THE DISHWASHING AREA IN THE KITCHEN MUST BE ELEVATED FROM THE FLOORS.#47- 4-101.11(B, C, D, E)-- MUST NOT USE PLASTIC GROCERY BAGS OR CARDBOARD BOXES AS FOOD CONTAINERS. FOOD CONTAINERS MUST BE WASHABLE, FOOD-GRADE MATERIAL.#49-4-602.13- CLEAN DISH STORAGE SHELVING IN THE DINING ROOM/SUSHI PREP IN POOR REPAIR. NOTED CHIPPING AND PEELING PRESSED WOOD. MUST REPLACE/REPAIR TO BE SMOOTH AND CLEANABLE.----MUST NOT USE CLOTH TOWELS, CARDBOARD, OR TIN FOIL AS LINER FOR ANY SHELVING OR COOKING EQUIPMENT THROUGHOUT. 4-601.11(B)--EXCESSIVE GREASE ON COOKS LINE EQUIPMENT, METAL RACK SHELVING, AND FOOD CART. MUST CLEAN AND MAINTAIN ALL.#55-: 6-201.11-- FLOORS THROUGHOUT THE FACILITY, THROUGHOUT THE DISHWASHING AREA, COOKS LINE, WALK-IN COOLER, ALL FLOOR DRAINS THROUGHOUT NOTED DIRTY WITH DIRT, FOOD DEBRIS, AND GREASE. MUST CLEAN AND MAINTAIN ALL. PRIORITY FOUNDATION VIOLATION 7-42-090 CITATION ISSUED. | 64. MISCELLANEOUS / PUBLIC HEALTH ORDERS - Comments: OBSERVED SEVERAL FOOD HANDLERS WORKING IN THE KITCHEN WITHOUT FACE MASKS OR FACE COVERINGS. VIOLATION OF RULES AND ORDER 2-112-340 CITATION ISSUED. | 64. MISCELLANEOUS / PUBLIC HEALTH ORDERS - Comments: NO RECORDS OF EMPLOYEE VACCINATION STATUS OR WEEKLY TESTING. | 64. MISCELLANEOUS / PUBLIC HEALTH ORDERS - Comments: NO POSTING OF MASK REQUIREMENT SIGNAGE FOR BUSINESS AT ENTRANCE AND INSIDE ESTABLISHMENT.MUST PROVIDE. | 64. MISCELLANEOUS / PUBLIC HEALTH ORDERS - Comments: NO WRITTEN PROTOCOL FOR IMPLEMENTING AND ENFORCING THE ORDER. MUST PROVIDE.",41.93905167,-87.64451266
101,Rosati's Pizza Of Chicago,pizza,Pizza,2.5,,46,"['953 W Diversey Pkwy', 'Chicago, IL 60614']",953 W Diversey Pkwy,,,Chicago,41.93238,-87.6535,60614,z3duTWqEDWbAWUZ-QYRjRw,,953 W Diversey Pkwy ,ROSATI'S PIZZA,Restaurant,Risk 1 (High),60614,2022,Canvass Re-Inspection,Pass,,41.93253445,-87.65354073
2046,Waterhouse,newamerican,American (New),3.5,$$,352,"['3407 N Paulina St', 'Chicago, IL 60657']",3407 N Paulina St,,,Chicago,41.94358063,-87.67086029,60657,AhGJ0ss_fajxoNsDlqANlg,2,3407 N Paulina St ,WATERHOUSE TAVERN AND GRILL,Restaurant,Risk 1 (High),60657,2022,Canvass,Pass,"43. IN-USE UTENSILS: PROPERLY STORED - Comments: NOTED SERVING PLATES ON SHELVES AT THE KITCHEN PREP AREA NOT PROPERLY STORED. INSTRUCTED TO INVERT ALL SERVING PLATEs TO PREVENT DUST ACCUMULATION. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN CEILING AND WALLS INSIDE THE HEATING ROOM/DRY STORAGE AREA AND INSDE THE BEER WALK IN COOLER.",41.94357337,-87.67105876
