,name,category,category_title,rating,price,review_count,display_address,address1,address2,address3,city,latitude,longitude,zip code,restaurant_id,price_integer
0,Tortas Frontera,mexican,Mexican,4,$$,1395,"['Terminal 3 - Gate K4', ""10000 W O'Hare Ave"", 'Terminal 3 Concourse K Gate K4', 'Chicago, IL 60666']",Terminal 3 - Gate K4,10000 W O'Hare Ave,Terminal 3 Concourse K Gate K4,Chicago,41.975438,-87.900137,60666,1zZvM7Zy__Oh533E4bt6_A,2
1,Farmer's Fridge,salad,Salad,4.5,$,62,"['10000 Ohare Way', 'Terminal 3 Gate K6', 'Chicago, IL 60666']",10000 Ohare Way,,Terminal 3 Gate K6,Chicago,41.97523427,-87.89871916,60666,4xQv1b1IFRsAWZu7yVLFrQ,1
2,Tortas Frontera,mexican,Mexican,4,$$,1321,"[""10000 W O'Hare Ave"", 'Terminal 1 - Gate B11', 'Chicago, IL 60666']",10000 W O'Hare Ave,,Terminal 1 - Gate B11,Chicago,41.98002633,-87.90667938,60666,0k018u1PAtfmkNRYk04yCQ,2
3,Gaslight Club,newamerican,American (New),3.5,$$$,99,"[""Chicago O'Hare International Airport"", ""O'Hare Hilton Hotel - Lobby Level"", 'Chicago, IL 60666']",Chicago O'Hare International Airport,,O'Hare Hilton Hotel - Lobby Level,Chicago,41.97796482,-87.9051733,60666,MywzBEKWjmt0bcNajKt8yw,3
4,Big Bowl,chinese,Chinese,2,$$,36,"[""10000 West O'hare Ave"", 'Terminal 5; Gate M7', 'Chicago, IL 60666']",10000 West O'hare Ave,,Terminal 5; Gate M7,Chicago,41.97510276,-87.89135034,60666,6VZwwWxBmxMsKd10AIOjxg,2
5,Tortas Frontera,mexican,Mexican,3,$$,103,"['Terminal 5 Concourse M Gate M12', ""10000 W O'Hare Ave"", 'Chicago, IL 60666']",Terminal 5 Concourse M Gate M12,10000 W O'Hare Ave,,Chicago,41.9742709,-87.89081108,60666,1q2o-gHLuFaOEa8F8UrCQw,2
6,Publican Tavern,pubs,Pubs,3.5,$$,425,"['Terminal 3 - Gate K1', ""10000 W O'Hare Ave"", 'Councourse K', 'Chicago, IL 60666']",Terminal 3 - Gate K1,10000 W O'Hare Ave,Councourse K,Chicago,41.976665,-87.90094481,60666,XnRP12wPi3bd9PbAYZpH3g,2
7,Wow Bao,chinese,Chinese,2,$,86,"[""10000 W O'Hare Ave"", 'Terminal 5', 'Chicago, IL 60666']",10000 W O'Hare Ave,,Terminal 5,Chicago,41.9743457,-87.8910776,60666,#NAME?,1
8,Hub 51,desserts,Desserts,2.5,$$,62,"[""10000 W O'Hare Ave"", 'Terminal 5', 'Chicago, IL 60666']",10000 W O'Hare Ave,,Terminal 5,Chicago,41.9743173,-87.8907661,60666,6ETGudXoZ9BYXssyiwjArA,2
9,Wicker Park,sushi,Sushi Bars,3.5,$$,104,"['29-99 Upper Level T1 St', ""O'Hare International Airport"", 'Chicago, IL 60666']",29-99 Upper Level T1 St,,O'Hare International Airport,Chicago,41.9768477,-87.90603831,60666,teNhRku3eik7FXeQK3IG9g,2
10,Skybridge Restaurant & Bar,greek,Greek,3.5,$$,103,"[""Chicago O'Hare International Airport"", 'Terminal 2, Concourse F', 'Chicago, IL 60666']",Chicago O'Hare International Airport,,"Terminal 2, Concourse F",Chicago,41.97365455,-87.90606551,60666,E4fKq5VSkP6r8Ide_aWYug,2
